"id","userId","searchDate","networkCount","reason","caseNumber","offenseType"
"8a5562cf-038b-48ae-8a4c-e0ff3f0eae2f","***","2026-08-19T23:25:31.633Z","1165","Missing Person","202600540562","Missing/Endangered Person/Runaway"
"0f9055a0-491b-499e-8b41-052726d7aefb","***","2026-08-20T00:09:09.469Z","1165","Missing Person","202600540562","Missing/Endangered Person/Runaway"
"bcfeeff1-a2f9-4663-a384-fdf26f97bb46","***","2026-08-20T06:43:47.732Z","1092","Mental Health/Community Wellness","2026006752","Trespass"
"fb67290d-ed03-4efb-96ed-7896923e923c","***","2026-08-20T12:12:03.849Z","2","Fraud","2026002415","Financial Crime (Embezzlement/Fraud)"
"b263ae30-7a58-4ff2-b669-7e4c21ac8b0e","***","2026-08-20T12:46:51.093Z","1166","Stolen Vehicle / Tag","202600541553","Motor Vehicle Theft/Stolen"
"1ee84c5b-4fbb-4021-b0b2-3639fb742348","***","2026-08-20T12:47:25.697Z","1165","Vehicle Break In","202600541553","Motor Vehicle Theft/Stolen"
"2dd32e59-8967-4085-b7ca-995ede539471","***","2026-08-20T13:52:43.288Z","1165","Shoplifting","2026006590","Larceny/Theft Offenses"
"8f939505-6c6d-474b-bb17-fa037c14ee0e","***","2026-08-20T21:38:28.386Z","1159","Mental Health/Community Wellness","202600542772","Welfare Check"
"b5413327-89c3-4f90-9c6d-add79271ace9","***","2026-08-20T21:39:00.743Z","1160","Missing Person","202600542772","Missing/Endangered Person/Runaway"
"792de5be-fd3c-4297-b183-41fe8f12ae29","***","2026-08-20T22:00:52.133Z","2","Theft","202600542828","Larceny/Theft Offenses"
"cc3a685d-2b4e-40e8-80a0-827c55d9be3e","***","2026-08-20T22:03:09.648Z","2","Mental Health/Community Wellness","202600542772","Welfare Check"
"3a13e596-a00a-4f89-8b7d-f2bdf19ef347","***","2026-08-21T06:49:42.417Z","2","Hit & Run","202600543628","Hit and Run/Car Accident"
"d8f3b9db-72a3-4dcc-a076-c489c9f34442","***","2026-08-21T07:03:46.414Z","1086","Hit & Run","2026006795","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"d95ad2d2-0d2f-4e5a-b397-ba322f9a8731","***","2026-08-21T12:09:03.902Z","2","Drug Investigation","202600543970","Traffic Infraction"
"2314c3c4-d2de-4483-bbaf-2aadae4742f0","***","2026-08-21T13:20:55.231Z","1159","Fraud","2026002415","Financial Crime (Embezzlement/Fraud)"
"e1a8bb29-efb1-4a9f-a882-f3143ff8f755","***","2026-08-21T14:11:34.416Z","2","Road Rage","202600544267","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"70229404-5ddf-4c61-a0f1-32ae2ffdf758","***","2026-08-22T00:38:37.197Z","1157","Shoplifting","2026006821","Larceny/Theft Offenses"
"8eb29ca3-0e6b-49a3-81fc-6878073beee5","***","2026-08-22T09:43:07.086Z","1156","Drug Investigation","202600543970","Traffic Infraction"
"115fea10-b55b-4dfd-9027-3f87006340cb","***","2026-08-22T21:25:01.485Z","1","Violent Crimes","Test/hwy41 cameras","Other"
"911d02f1-0f72-49c4-9a8a-2466850ecd26","***","2026-08-22T22:14:16.906Z","2","Hit & Run","Test Hwy 41 Flock Camera Vandalism","Other"
"ab698c77-dc02-4f43-91c1-e144b94a10ad","***","2026-08-23T06:36:50.502Z","2","Domestic Disturbance","2026006850","Trespass"
"71b27a7e-6c23-4e88-bd0e-56381546c492","***","2026-08-23T06:43:19.279Z","2","Wanted Subject","2026006850","Trespass"
