"id","searchDate","networkCount","offenseType"
"65aa7fb1-29b5-46ed-931f-f4a682663fd6","2026-08-11T01:04:21.521Z","8","Financial Crime (Embezzlement/Fraud)"
"110b27b2-f12d-42b7-9584-38ac4c5cc8cd","2026-08-11T01:04:40.828Z","2","Assault/Battery Offenses (Domestic)"
"54cd7dd1-ac62-49c7-a228-a2ab46166ac8","2026-08-11T01:52:39.234Z","2","Welfare Check"
"c48f2693-eecd-4990-ae2c-5fad570f60ef","2026-08-11T09:48:16.608Z","203","Hit and Run/Car Accident"
"e748df04-feff-455d-960c-0983bda163a4","2026-08-11T13:41:26.429Z","2659","Drugs/Narcotics"
"40b9df95-7b3e-4b10-91f7-5940239536d6","2026-08-11T14:15:24.445Z","2659","Drugs/Narcotics"
"1b29d121-aebb-4d70-a07e-18c42555c8f0","2026-08-11T20:28:26.005Z","2","Financial Crime (Embezzlement/Fraud)"
"18cda271-adee-4645-940d-a62c1a83e05b","2026-08-12T04:44:24.203Z","2654","Financial Crime (Embezzlement/Fraud)"
"88971ff7-6a99-4b63-a55c-aabb6a50b73d","2026-08-12T07:13:16.555Z","1","Larceny/Theft Offenses"
"db8fb73c-eac6-4d1b-b33b-29699f672a9c","2026-08-12T07:20:19.730Z","2","Larceny/Theft Offenses"
"f09df25a-c195-4602-868a-8840c436066c","2026-08-12T08:04:08.912Z","2653","Larceny/Theft Offenses"
"46977fea-04dc-4ece-9418-b6911986a17b","2026-08-12T09:00:04.030Z","2653","Larceny/Theft Offenses"
"e95e3b62-fe08-4394-a647-d5e40d0d62a6","2026-08-12T09:30:49.929Z","2653","Larceny/Theft Offenses"
"068a14ff-454a-4e57-84d3-d2887427d3c6","2026-08-12T11:08:49.395Z","2","Obstructing the Police (Fleeing/Eluding)"
"5c85c27c-02f6-483d-833c-01bbf28f0c2b","2026-08-12T12:04:45.157Z","2653","Motor Vehicle Theft/Stolen"
"234160f2-4d17-4a9c-a18d-055311f68929","2026-08-12T12:53:53.598Z","2652","Obstructing the Police (Fleeing/Eluding)"
"6da86de4-e1d7-4dd5-9f21-de03765cb9a5","2026-08-12T13:52:38.840Z","1","Obstructing the Police (Fleeing/Eluding)"
"82016ac4-4bb6-47d2-91e7-8a25648af7ae","2026-08-12T14:01:41.099Z","2","Obstructing the Police (Fleeing/Eluding)"
"fda2c827-002b-4423-80bf-37c5b8b93bfb","2026-08-12T15:02:56.382Z","2","Obstructing the Police (Fleeing/Eluding)"
"b1ca969e-2446-4817-bfcc-3385c2f33643","2026-08-12T15:16:23.869Z","203","Wanted Person (Arrest Warrant/Fugitive)"
"aaaf1653-0f35-49a6-a60f-8f0db715a4fa","2026-08-12T15:22:08.196Z","2","Threats/Harassment"
"2c37073e-033c-4f92-b68b-e98e934e0373","2026-08-12T15:25:42.532Z","2650","Wanted Person (Arrest Warrant/Fugitive)"
"d9b82c3b-828b-49ca-bd61-d3b65d40077b","2026-08-12T19:06:52.153Z","2647","Obstructing the Police (Fleeing/Eluding)"
"4f0d3656-1d87-4f05-9f0a-1bc109948442","2026-08-12T19:15:10.545Z","2649","Burglary/Breaking & Entering"
"7ae0460a-985f-4fe4-b677-b56cad999cd2","2026-08-13T03:38:22.157Z","2","Obstructing the Police (Fleeing/Eluding)"
"1d05535a-0ddc-4546-86ff-d3b67232936a","2026-08-13T04:20:07.552Z","2647","Homicide/Death Investigation"
"ae2e1ce8-be93-4d57-bb25-11f236bd6022","2026-08-13T04:23:34.601Z","2","Financial Crime (Embezzlement/Fraud)"
"59d3a822-65eb-44c9-be42-92117f63427f","2026-08-13T04:26:27.191Z","2647","Homicide/Death Investigation"
"c1bb323d-80f3-4e39-b620-f8b9b7c84d7a","2026-08-13T04:59:22.606Z","2648","Obstructing the Police (Fleeing/Eluding)"
"ae0be26d-74b8-4da8-b845-2755a75768dc","2026-08-13T08:42:36.373Z","2647","Homicide/Death Investigation"
"eed55d8c-1c57-40df-a055-15ce4279392f","2026-08-13T14:20:53.125Z","2648","Assault/Battery Offenses"
"e5df2a2e-268c-457e-85a0-25f2b8b7a4a9","2026-08-13T18:28:02.712Z","2643","Wanted Person (Arrest Warrant/Fugitive)"
"f0c89f55-ab55-4335-9401-9f52e15f2c38","2026-08-13T21:03:40.973Z","2","Homicide/Death Investigation"
"80ff213e-ab1d-4fe3-b77d-fae051567f87","2026-08-13T23:36:48.096Z","2640","Homicide/Death Investigation"
"e5541cb9-3569-48a5-ad91-fa616f36744b","2026-08-14T10:59:25.581Z","2640","Larceny/Theft Offenses"
"be73f3eb-c2f7-403f-b076-9f3b678d2701","2026-08-14T13:49:22.849Z","2641","Welfare Check"
"3924f7d9-ed18-4e25-b8ae-9ef96bed7db5","2026-08-14T13:49:26.726Z","2","Welfare Check"
"5aac955f-a702-46a9-b238-15c8910a6bb9","2026-08-14T13:54:06.834Z","2640","Drugs/Narcotics"
"5bfa303f-0254-431d-baa6-36d06ddf0939","2026-08-14T16:59:24.853Z","2637","Financial Crime (Embezzlement/Fraud)"
"7363aee4-f26e-458e-8e9c-a2368915ca6e","2026-08-14T17:01:38.594Z","2637","Financial Crime (Embezzlement/Fraud)"
"504db693-6062-4c4b-bfb6-e4fa257d456c","2026-08-14T18:03:20.677Z","2637","Financial Crime (Embezzlement/Fraud)"
"63191f06-0f34-4a56-abd4-d9de598fec0b","2026-08-14T18:45:24.545Z","2639","Welfare Check"
"110515bb-b04b-46b4-ac92-ef3db3cda70b","2026-08-14T20:21:51.887Z","2","Robbery"
"9fc3271a-d5d9-4bce-b0ec-9b6c8226e6be","2026-08-14T23:12:14.193Z","2","Motor Vehicle Theft/Stolen"
"3b2179c9-236a-4002-97e8-e58824151217","2026-08-15T00:04:53.672Z","6293","Motor Vehicle Theft/Stolen"
"d86f431b-67e0-45ed-895f-7258bb0c4058","2026-08-15T03:37:08.063Z","2635","Motor Vehicle Theft/Stolen"
"ae7d96d1-b957-4d70-bc03-8a073dc29181","2026-08-15T06:44:22.699Z","2637","Wanted Person (Arrest Warrant/Fugitive)"
"511ab5e8-a957-445b-a386-6b7b29445b28","2026-08-15T10:39:03.699Z","2","Larceny/Theft Offenses"
"4a8a8956-fa46-4022-90a6-a91909317582","2026-08-15T18:02:15.315Z","2","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"5bafdb58-0992-48cb-9043-7a6fd44f6898","2026-08-15T18:05:38.283Z","2636","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"1f193c2a-88ef-4d22-b00f-82f3f6819690","2026-08-15T19:14:08.968Z","4","Welfare Check"
"f6cf31f8-c7bc-4a25-90e9-d2e51a61d063","2026-08-15T19:15:33.548Z","2635","Welfare Check"
"0737cafc-ddde-4ed2-9cb0-c4186b457974","2026-08-15T19:40:14.609Z","2","Larceny/Theft Offenses"
"3b190633-5e06-4a7e-ae83-8e17b66f2254","2026-08-15T19:40:46.070Z","2","Larceny/Theft Offenses"
"e4f1c4cc-132f-41e3-9147-f9c2c9666100","2026-08-16T04:41:40.455Z","2549","Wanted Person (Arrest Warrant/Fugitive)"
"6ef41edd-0268-4b7c-8051-c8e10147edbc","2026-08-16T05:38:55.660Z","6293","Wanted Person (Arrest Warrant/Fugitive)"
"280dae66-4515-4b76-b926-769a584602a1","2026-08-16T20:08:53.646Z","1","Motor Vehicle Theft/Stolen"
"261bed19-564b-446e-982a-810bff42d173","2026-08-16T21:22:11.181Z","2634","Motor Vehicle Theft/Stolen"
"4b388d9f-5288-4c4b-a0c0-03fd93215b5c","2026-08-17T15:01:04.840Z","2632","Larceny/Theft Offenses"
"db3c0965-7abb-485e-9bd4-8f23c8a6a9fb","2026-08-17T16:56:06.602Z","2633","Welfare Check"
"f94e333d-b1d6-4ff3-960c-a6cc686ee13d","2026-08-17T17:06:07.228Z","2632","Hit and Run/Car Accident"
"186c5743-c241-4a9b-bb43-492641514b6a","2026-08-17T18:02:56.505Z","2631","Motor Vehicle Theft/Stolen"
"f3fd4fb4-e0a8-49b9-a2b1-1adadf9ac0a3","2026-08-17T19:00:18.622Z","6294","Motor Vehicle Theft/Stolen"
"4923c976-20cf-49a4-9f6d-1f9a0ec8ee4c","2026-08-18T13:24:54.021Z","2","Missing/Endangered Person/Runaway"
"40598d56-83bc-4bff-9e81-65a7a8477e4c","2026-08-18T16:09:41.989Z","1","Destruction/Damage/Vandalism of Property"
"c14aba1b-4fd3-46d3-9fd5-09d6ce1b103e","2026-08-18T16:09:48.151Z","3","Destruction/Damage/Vandalism of Property"
"d0e900a9-42c8-4951-8aaf-417c808ef7fc","2026-08-18T16:36:08.173Z","1","Destruction/Damage/Vandalism of Property"
"9ec73ef6-d04f-44b1-94e9-378bd89b036c","2026-08-18T18:56:35.183Z","2","Assault/Battery Offenses (Domestic)"
"2e1a799f-6d36-4908-a09f-1a386127a800","2026-08-18T18:56:54.949Z","2628","Wanted Person (Arrest Warrant/Fugitive)"
"e0d837ec-356b-4f54-954a-c1fa5b04307b","2026-08-18T19:01:57.102Z","2","Assault/Battery Offenses (Domestic)"
"7ee47185-5bf6-4c67-abd0-26603403e05e","2026-08-18T19:02:24.275Z","2628","Wanted Person (Arrest Warrant/Fugitive)"
"3f45f6d6-11f4-4e4e-b234-ef78cd9b52a3","2026-08-18T19:45:05.211Z","2626","Assault/Battery Offenses (Domestic)"
"23d7d266-a4a4-4785-8b38-9701ebac8f91","2026-08-18T19:46:11.896Z","2627","Assault/Battery Offenses (Domestic)"
"d29af169-4efd-4675-93e4-7e3b11e6a8b9","2026-08-18T20:01:53.071Z","6292","Destruction/Damage/Vandalism of Property"
"f413e735-8dcb-4b67-ac32-fd76e95c101d","2026-08-18T22:37:28.496Z","2","Wanted Person (Arrest Warrant/Fugitive)"
"fde4de1e-f57b-4119-9c49-14fbfd50b357","2026-08-18T22:51:26.106Z","2625","Homicide/Death Investigation"
"8f43dad3-dd05-479d-9cd2-29fbf8ce2051","2026-08-19T00:49:11.882Z","2625","Hit and Run/Car Accident"
"1f506120-c81a-4c4d-8246-6d4cd666c6f7","2026-08-19T03:16:41.707Z","2624","Stolen Property Offenses"
"1bed5d67-433e-4c48-9415-0de352047684","2026-08-19T12:17:06.537Z","2538","Wanted Person (Arrest Warrant/Fugitive)"
"5945175a-637a-4f80-b99d-cd137b726f3a","2026-08-19T13:02:12.201Z","2538","Wanted Person (Arrest Warrant/Fugitive)"
"4d1f81f1-1eb9-400d-b6a9-664fb94d7196","2026-08-19T15:00:59.411Z","2","Destruction/Damage/Vandalism of Property"
"de04029f-0345-4b80-80f9-b820ab0b00df","2026-08-19T16:05:16.774Z","2","Destruction/Damage/Vandalism of Property"
"1bdeaf7a-5ad8-4477-b24f-2d415c56eb17","2026-08-19T17:08:52.505Z","2","Destruction/Damage/Vandalism of Property"
"d3b4fa1b-0760-40ed-8952-4643e75663bf","2026-08-19T17:30:44.515Z","1","Destruction/Damage/Vandalism of Property"
"1163b8fb-ba76-4482-af04-fa348c77277d","2026-08-19T18:22:02.472Z","1","Destruction/Damage/Vandalism of Property"
"805412aa-e14a-4dd7-bb8e-66e074d921ca","2026-08-19T20:05:53.030Z","6287","Destruction/Damage/Vandalism of Property"
