"id","userId","searchDate","networkCount"
"b0f1f24d-798e-4948-af6d-97a8b92a04b6","***","2026-07-16T08:52:09.427Z","527"
"bd08943a-32c9-4d0e-b684-e8d5258c21a2","***","2026-07-16T17:40:02.330Z","527"
"8530c927-8719-43a3-8a28-76b7e37ee6ca","***","2026-07-16T19:20:00.712Z","527"
"5c06cd0a-9fe5-4c58-bf8a-9ad77944517e","***","2026-07-17T13:25:32.516Z","527"
"89c735d7-58c5-444e-a707-e121380d9b9a","***","2026-07-17T13:31:22.927Z","527"
"734d7b71-4453-4a14-a29a-0f96aba4322a","***","2026-07-17T15:01:32.919Z","527"
"935e9625-2f6d-4461-86b1-441ebb6324f9","***","2026-07-17T15:39:05.818Z","527"
"ef011be7-c0c4-4ebd-bcd6-38149ecec8d0","***","2026-07-18T04:59:29.868Z","1"
"e5ad92d4-6fdc-40a2-8888-9d499a6b4108","***","2026-07-18T05:01:29.086Z","1"
"60dcbf7a-3c0a-4feb-8931-b32885c4df14","***","2026-07-18T05:32:53.236Z","527"
"5420f4b5-f9a9-48ef-af4b-ad8d1a290ac2","***","2026-07-18T20:19:27.802Z","1"
"bac39a33-789e-4ca4-9507-b50f9275feea","***","2026-07-19T12:36:43.459Z","530"
"fd8ece74-f84a-43fe-8f94-424ed2968afc","***","2026-07-19T13:18:03.645Z","1"
"c9163ea3-6101-45d2-910c-4634cbea4b1a","***","2026-07-19T13:21:27.995Z","527"
"4735979d-81d1-481d-81d5-9dd29ece0783","***","2026-07-19T19:42:40.216Z","2"
"61016324-8c37-4db7-89ca-e52836299f64","***","2026-07-20T00:40:46.457Z","527"
"4c035c0a-5c9c-41bc-b632-dd491cc51eca","***","2026-07-20T01:19:46.410Z","1"
"0221d65f-310b-49a2-ae34-129ef27c5158","***","2026-07-21T02:46:01.334Z","527"
"842f34ae-31cc-4974-893e-04a30644a989","***","2026-07-21T02:53:08.021Z","3"
"121edb71-6870-42c4-8dc8-dc48d0f2c7db","***","2026-07-21T03:42:33.355Z","530"
"26a485d8-7455-4ddd-aa90-09e19d4bf5af","***","2026-07-21T21:33:07.525Z","1"
"331da5de-1a75-4190-bff1-55eb5fc55f27","***","2026-07-22T02:12:29.037Z","1"
"e41dba2e-fe34-441a-b652-edb769395ff4","***","2026-07-22T05:57:59.814Z","1"
"2c81d6d9-f5c2-44b7-a179-c8138849509e","***","2026-07-22T06:59:08.557Z","1"
"dc1497c5-82cc-4bee-b242-276054e3929f","***","2026-07-22T07:20:46.837Z","1"
"fa7d8a15-e4f2-487c-b2b7-b10773889806","***","2026-07-22T08:01:25.060Z","1"
"6bf7adcb-b27e-4d0e-b6a4-f894483846b8","***","2026-07-22T09:02:46.030Z","527"
"d6a834ea-0da2-4a91-96ed-0beffd661f8c","***","2026-07-22T14:11:13.164Z","1"
"e5216612-82f0-405e-a2a7-8ff00b612a7f","***","2026-07-23T01:32:48.354Z","527"
"6f709351-2e0b-4183-9d13-358684dd30c4","***","2026-07-24T14:02:34.666Z","527"
"6a44a97f-8b83-4da5-9810-a1adf2f22a19","***","2026-07-25T18:48:56.454Z","526"
"0b16b929-85d4-40e3-bbe7-7ddbed7231ad","***","2026-07-27T14:33:33.291Z","526"
"d1fce771-3756-45b1-a096-00f73438c14d","***","2026-07-27T16:08:19.269Z","519"
"4a7fa945-7905-42b8-ba93-a7e050da5d23","***","2026-07-27T17:01:50.766Z","526"
"7ce6a1dd-3b44-4111-bc03-a3ef676dfe86","***","2026-07-28T19:59:31.113Z","526"
"99a4b427-42ce-4ea6-a55d-eec4b6901005","***","2026-07-28T21:02:21.188Z","526"
"08b291d2-f61e-4753-97b5-7f536900af37","***","2026-07-29T01:03:54.206Z","526"
"db6e42be-5750-4679-a07c-b68940c2e11c","***","2026-07-29T12:01:42.124Z","526"
"e9c496af-d038-4cab-a290-8dd1c205aaca","***","2026-07-29T15:06:06.016Z","526"
"129ae611-78df-48ba-836d-e6272d929ef4","***","2026-07-29T18:33:11.477Z","526"
"ae35e67c-1513-4da4-8baf-7b51a8577365","***","2026-07-29T21:18:14.235Z","526"
