"id","userId","searchDate","networkCount","caseNumber","offenseType"
"b93c29a6-600c-409f-b1e5-1ad113873153","***","2026-07-15T19:10:06.684Z","1","2607P-3318","Burglary/Breaking & Entering"
"34521b8b-0cdc-4574-a876-7aeac5159a26","***","2026-07-15T20:01:40.673Z","3","2607P-3427","Larceny/Theft Offenses"
"3c296904-daac-4bb7-87a3-ffec8b4dac9d","***","2026-07-15T20:02:18.483Z","2","2607P-3426","Motor Vehicle Theft/Stolen"
"e2ca5cc1-f12d-43f6-b1e2-50414e50f09e","***","2026-07-15T20:35:52.273Z","1353","2607P-3426","Motor Vehicle Theft/Stolen"
"fff6caad-c40f-4633-88c6-3c07485be4dc","***","2026-07-15T21:01:54.951Z","1360","2607P-3426","Motor Vehicle Theft/Stolen"
"4f57a25a-b8e4-4db8-b2e9-a48bd444336b","***","2026-07-15T21:19:27.254Z","1360","2607P-3474","Hit and Run/Car Accident"
"812c9738-f96d-43cd-a2be-3a74e19a5681","***","2026-07-15T22:10:42.922Z","1360","2607P-3318","Larceny/Theft Offenses"
"4c4fe359-1a99-4cf4-a64b-9b88abdb35f5","***","2026-07-15T23:10:02.118Z","1360","2607P-3426","Motor Vehicle Theft/Stolen"
"8c1d3aee-96b1-4bca-b1d9-7ff74b2c27eb","***","2026-07-15T23:11:20.960Z","1353","2606P-3864","Drugs/Narcotics"
"cb3e8ed7-771e-4e8f-9e65-3faa9d3886c3","***","2026-07-15T23:46:59.635Z","3","2606P-2981","Stolen Property Offenses"
"bda49cfc-4322-432e-a368-18a053576c09","***","2026-07-16T00:06:05.108Z","1353","2606P-2981","Stolen Property Offenses"
"82323a22-ab7a-447f-946d-800cfa3bae48","***","2026-07-16T00:12:20.862Z","1353","2606P-3864","Drugs/Narcotics"
"d9821049-8eaa-4ed8-a169-325e3649402b","***","2026-07-16T01:45:35.795Z","1360","2607p3521","Hit and Run/Car Accident"
"ae55b139-4e83-4183-834b-42fad83c802e","***","2026-07-16T01:47:06.686Z","2","2607P-3521","Hit and Run/Car Accident"
"bc377649-49b6-4a56-b3e2-3b99b4b0f325","***","2026-07-16T01:48:37.571Z","1353","2607p-3521","Hit and Run/Car Accident"
"3b9367d3-2534-47f3-bb65-275b921d62b5","***","2026-07-16T02:04:33.360Z","3","2607p-3521","Hit and Run/Car Accident"
"3a51116e-da83-4c2c-8369-ec9c6772c000","***","2026-07-16T02:21:01.739Z","3","2607P-3521","Hit and Run/Car Accident"
"98f702e3-43b5-446e-982e-fc79c0d5614f","***","2026-07-16T02:31:07.561Z","1","2607P-3521","Hit and Run/Car Accident"
"3d591561-c80c-4577-91a6-3f580e7084fa","***","2026-07-16T02:53:06.206Z","1237","2607P-3521","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"a36fa59e-41db-4f68-b18a-fac65d02a8d3","***","2026-07-16T13:33:21.748Z","1360","2607P-3521","Hit and Run/Car Accident"
"7c561d9e-d145-4bea-b3ea-dfb6ba46999f","***","2026-07-16T13:39:28.418Z","1360","2607P-2539","Burglary/Breaking & Entering"
"9d4c1a2b-b0a5-4faa-8075-76cc77e524aa","***","2026-07-16T14:03:39.412Z","1360","2607P-3521","Hit and Run/Car Accident"
"9cafada8-3ea6-46ec-a433-403d34bbf631","***","2026-07-16T14:48:38.793Z","3","2607P-2359","Burglary/Breaking & Entering"
"09bb7f33-b1da-4893-921b-4a21aa8b4568","***","2026-07-16T15:15:23.771Z","1","2607P-3521","Hit and Run/Car Accident"
"33b8b0c1-c553-481d-b79c-85af7335c31f","***","2026-07-16T15:26:27.693Z","1","2607P-3521","Hit and Run/Car Accident"
"100ae49f-42ae-4d71-bd19-d6e1e71fcf09","***","2026-07-16T15:56:15.303Z","1359","2607P-2539","Burglary/Breaking & Entering"
"7ef08170-089a-4a42-b107-a74d2df136e2","***","2026-07-16T16:10:42.917Z","1359","2607P-3318","Burglary/Breaking & Entering"
"ce752e9e-250e-492b-8d3a-13e8ccf36135","***","2026-07-16T16:48:05.905Z","1","2607P-3521","Hit and Run/Car Accident"
"70489a87-49a5-40fb-b424-4327752eaef6","***","2026-07-16T16:49:51.602Z","1","2607P-3521","Hit and Run/Car Accident"
"4929bc0f-4ce1-4f9b-8c69-6ac43584ab83","***","2026-07-16T17:02:55.715Z","1","2607P-3521","Hit and Run/Car Accident"
"d7d82a65-bfe3-48ff-96d5-99151dcd8024","***","2026-07-16T17:16:06.537Z","1359","2607p-2539","Burglary/Breaking & Entering"
"a2b47a6a-6014-47c4-99f8-2a4d3ae71d1d","***","2026-07-16T17:23:24.400Z","1359","2607P-3521","Hit and Run/Car Accident"
"9e40202e-19d1-4e96-8b41-3c618622b38c","***","2026-07-16T17:43:08.877Z","1359","2607P-3521","Hit and Run/Car Accident"
"cd1d3deb-5b96-4252-9688-43e374468a3a","***","2026-07-16T18:15:40.283Z","1352","2603P-3347","Weapons Offense (Guns/Shots Fired)"
"5055e3cf-5bac-41ac-9102-757335e85195","***","2026-07-16T18:30:09.578Z","1","2607P-3521","Hit and Run/Car Accident"
